Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
NCM06,7.475,Low Fat,0.076036381,Household,153.9656,OUT018,2009,Medium,Tier 3,Supermarket Type2,2625.9152
FDO57,20.75,Low Fat,0.109153001,Snack Foods,161.3578,OUT018,2009,Medium,Tier 3,Supermarket Type2,4492.8184
NCJ30,5.82,Low Fat,0.08062523,Household,168.379,OUT035,2004,Small,Tier 2,Supermarket Type1,1188.453
FDX56,17.1,Regular,0,Fruits and Vegetables,208.5638,OUT049,1999,Medium,Tier 1,Supermarket Type1,5383.6588
FDX07,19.2,Regular,0.022914478,Fruits and Vegetables,181.195,OUT035,2004,Small,Tier 2,Supermarket Type1,2380.235
NCP02,7.105,Low Fat,0.044991294,Household,59.2562,OUT018,2009,Medium,Tier 3,Supermarket Type2,651.8182
FDV32,7.785,Low Fat,0.089069748,Fruits and Vegetables,62.751,OUT018,2009,Medium,Tier 3,Supermarket Type2,1707.777
FDB15,10.895,Low Fat,0.137023446,Dairy,263.7568,OUT049,1999,Medium,Tier 1,Supermarket Type1,7646.0472
FDL57,15.1,Regular,0.067350054,Snack Foods,257.3304,OUT018,2009,Medium,Tier 3,Supermarket Type2,3874.956
FDE33,19.35,reg,0.049712775,Fruits and Vegetables,78.2644,OUT049,1999,Medium,Tier 1,Supermarket Type1,1492.7236
FDV22,14.85,Regular,0.009995002,Snack Foods,154.463,OUT017,2007,,Tier 2,Supermarket Type1,3755.112
NCX42,6.36,Low Fat,0.006012413,Household,163.0526,OUT017,2007,,Tier 2,Supermarket Type1,1644.526
NCS42,8.6,Low Fat,0.069809115,Household,90.5146,OUT017,2007,,Tier 2,Supermarket Type1,729.7168
NCG43,20.2,Low Fat,0.074390007,Household,91.4462,OUT045,2002,,Tier 2,Supermarket Type1,1943.4702
FDI33,16.5,Low Fat,0.028579565,Snack Foods,90.3146,OUT017,2007,,Tier 2,Supermarket Type1,2554.0088
FDZ33,10.195,Low Fat,0.108004532,Snack Foods,148.7076,OUT017,2007,,Tier 2,Supermarket Type1,1330.2684
FDD44,8.05,Regular,0.078719835,Fruits and Vegetables,258.5646,OUT018,2009,Medium,Tier 3,Supermarket Type2,3091.9752
FDD10,20.6,reg,0.046208155,Snack Foods,178.0344,OUT018,2009,Medium,Tier 3,Supermarket Type2,1605.9096
NCB55,15.7,Low Fat,0.161317495,Household,57.5562,OUT018,2009,Medium,Tier 3,Supermarket Type2,829.5868
FDX27,20.7,reg,0.114294512,Dairy,94.9436,OUT049,1999,Medium,Tier 1,Supermarket Type1,1229.0668
FDA20,6.78,Low Fat,0.066892471,Fruits and Vegetables,186.424,OUT018,2009,Medium,Tier 3,Supermarket Type2,1304.968
FDB08,6.055,Low Fat,0.031230059,Fruits and Vegetables,160.3578,OUT018,2009,Medium,Tier 3,Supermarket Type2,1765.0358
NCB43,20.2,Low Fat,0.100114941,Household,188.3898,OUT045,2002,,Tier 2,Supermarket Type1,3554.7062
FDG56,13.3,Regular,0.071439051,Fruits and Vegetables,61.0536,OUT035,2004,Small,Tier 2,Supermarket Type1,1898.8616
FDE34,9.195,Low Fat,0.108059141,Snack Foods,181.7634,OUT049,1999,Medium,Tier 1,Supermarket Type1,6179.9556
FDT58,9,Low Fat,0.085938463,Snack Foods,168.6816,OUT035,2004,Small,Tier 2,Supermarket Type1,1342.2528
NCL30,18.1,Low Fat,0.049016517,Household,128.7336,OUT049,1999,Medium,Tier 1,Supermarket Type1,2173.1712
FDP45,15.7,Regular,0.030672457,Snack Foods,253.1724,OUT049,1999,Medium,Tier 1,Supermarket Type1,5285.1204
FDL13,13.85,Regular,0.056432784,Breakfast,234.93,OUT045,2002,,Tier 2,Supermarket Type1,4660.6
NCV30,20.2,Low Fat,0.066200667,Household,61.451,OUT018,2009,Medium,Tier 3,Supermarket Type2,126.502
NCC55,10.695,Low Fat,0.064022881,Household,36.0848,OUT018,2009,Medium,Tier 3,Supermarket Type2,372.848
FDX47,6.55,Regular,0.034658144,Breads,155.8288,OUT049,1999,Medium,Tier 1,Supermarket Type1,1099.9016
NCL18,18.85,Low Fat,0.167844438,Household,193.9136,OUT049,1999,Medium,Tier 1,Supermarket Type1,3110.6176
FDI56,7.325,Low Fat,0.093765794,Fruits and Vegetables,90.3146,OUT018,2009,Medium,Tier 3,Supermarket Type2,1733.0774
FDQ08,15.7,Regular,0.018968743,Fruits and Vegetables,61.9536,OUT045,2002,,Tier 2,Supermarket Type1,1225.072
FDW46,13,Regular,0.070444232,Snack Foods,63.4484,OUT045,2002,,Tier 2,Supermarket Type1,1043.9744
FDO09,13.5,Regular,0.125469442,Snack Foods,264.491,OUT049,1999,Medium,Tier 1,Supermarket Type1,6574.775
DRJ49,6.865,Low Fat,0.01405025,Soft Drinks,128.9652,OUT018,2009,Medium,Tier 3,Supermarket Type2,1679.1476
FDO19,17.7,Regular,0.016593506,Fruits and Vegetables,46.9034,OUT035,2004,Small,Tier 2,Supermarket Type1,972.068
FDO32,6.36,Low Fat,0.120520818,Fruits and Vegetables,45.906,OUT035,2004,Small,Tier 2,Supermarket Type1,419.454
FDN31,11.5,Low Fat,0.073029341,Fruits and Vegetables,187.953,OUT045,2002,,Tier 2,Supermarket Type1,2656.542
FDE08,18.2,Low Fat,0.049520593,Fruits and Vegetables,147.3734,OUT018,2009,Medium,Tier 3,Supermarket Type2,2375.5744
FDC03,8.575,reg,0.071958197,Dairy,195.3794,OUT049,1999,Medium,Tier 1,Supermarket Type1,3511.4292
FDR43,18.2,Low Fat,0.162147349,Fruits and Vegetables,37.719,OUT018,2009,Medium,Tier 3,Supermarket Type2,549.285
FDT11,5.94,Regular,0.029366813,Breads,187.7556,OUT035,2004,Small,Tier 2,Supermarket Type1,3755.112
FDS44,12.65,Regular,0.156926608,Fruits and Vegetables,238.3538,OUT017,2007,,Tier 2,Supermarket Type1,5528.1374
NCP06,20.7,Low Fat,0.039405676,Household,149.8366,OUT018,2009,Medium,Tier 3,Supermarket Type2,2267.049
FDT45,15.85,Low Fat,0.057546914,Snack Foods,55.8956,OUT018,2009,Medium,Tier 3,Supermarket Type2,491.3604
FDE56,17.25,Regular,0.160095901,Fruits and Vegetables,61.5194,OUT017,2007,,Tier 2,Supermarket Type1,1052.6298
NCB19,6.525,LF,0.090278634,Household,86.7882,OUT035,2004,Small,Tier 2,Supermarket Type1,1975.4286
FDV22,14.85,Regular,0.009958941,Snack Foods,157.963,OUT045,2002,,Tier 2,Supermarket Type1,2816.334
FDV34,10.695,Regular,0.011443222,Snack Foods,73.5038,OUT049,1999,Medium,Tier 1,Supermarket Type1,1478.076
NCY18,7.285,Low Fat,0.031214809,Household,177.1054,OUT045,2002,,Tier 2,Supermarket Type1,2626.581
NCM54,17.7,LF,0.051146565,Household,127.3678,OUT018,2009,Medium,Tier 3,Supermarket Type2,3306.3628
FDB59,18.25,Low Fat,0.015302653,Snack Foods,198.0084,OUT049,1999,Medium,Tier 1,Supermarket Type1,793.6336
FDL39,16.1,Regular,0.06358934,Dairy,179.4318,OUT018,2009,Medium,Tier 3,Supermarket Type2,360.8636
FDV02,16.75,Low Fat,0.060792265,Dairy,170.4106,OUT018,2009,Medium,Tier 3,Supermarket Type2,513.3318
NCU54,8.88,Low Fat,0.098775709,Household,208.927,OUT049,1999,Medium,Tier 1,Supermarket Type1,7130.718
FDX50,20.1,LF,0.074778547,Dairy,110.7228,OUT045,2002,,Tier 2,Supermarket Type1,1657.842
FDQ55,13.65,Regular,0.013035609,Fruits and Vegetables,114.7834,OUT035,2004,Small,Tier 2,Supermarket Type1,3455.502
NCO30,19.5,Low Fat,0.01572192,Household,185.6608,OUT035,2004,Small,Tier 2,Supermarket Type1,918.804
FDA33,6.48,LF,0.033952603,Snack Foods,148.2076,OUT049,1999,Medium,Tier 1,Supermarket Type1,3399.5748
FDR32,6.78,Regular,0,Fruits and Vegetables,227.5694,OUT049,1999,Medium,Tier 1,Supermarket Type1,3653.9104
FDQ56,6.59,Low Fat,0.106027474,Fruits and Vegetables,83.9908,OUT018,2009,Medium,Tier 3,Supermarket Type2,1426.1436
FDZ08,12.5,Regular,0.109971578,Fruits and Vegetables,82.7592,OUT035,2004,Small,Tier 2,Supermarket Type1,577.9144
FDV08,7.35,Low Fat,0.028652919,Fruits and Vegetables,40.5454,OUT045,2002,,Tier 2,Supermarket Type1,545.2902
DRD37,9.8,Low Fat,0.013920032,Soft Drinks,45.006,OUT017,2007,,Tier 2,Supermarket Type1,792.302
NCE06,5.825,LF,0.091467933,Household,159.7894,OUT035,2004,Small,Tier 2,Supermarket Type1,1294.3152
FDF32,16.35,Low Fat,0,Fruits and Vegetables,196.3426,OUT018,2009,Medium,Tier 3,Supermarket Type2,1384.1982
DRA12,11.6,LF,0,Soft Drinks,141.9154,OUT035,2004,Small,Tier 2,Supermarket Type1,992.7078
FDU58,6.61,Regular,0.029129907,Snack Foods,188.4898,OUT018,2009,Medium,Tier 3,Supermarket Type2,4677.245
FDL09,19.6,Regular,0.128011859,Snack Foods,166.8816,OUT035,2004,Small,Tier 2,Supermarket Type1,1845.5976
FDY38,13.6,Regular,0.119850541,Dairy,234.53,OUT017,2007,,Tier 2,Supermarket Type1,6524.84
FDQ09,7.235,Low Fat,0.058222587,Snack Foods,114.8834,OUT049,1999,Medium,Tier 1,Supermarket Type1,3340.3186
FDA20,6.78,Low Fat,0.066724663,Fruits and Vegetables,187.724,OUT049,1999,Medium,Tier 1,Supermarket Type1,1491.392
FDR46,16.85,Low Fat,0.139985583,Snack Foods,145.276,OUT018,2009,Medium,Tier 3,Supermarket Type2,2490.092
FDP22,14.65,Regular,0.099286298,Snack Foods,49.8666,OUT049,1999,Medium,Tier 1,Supermarket Type1,563.9326
FDL45,15.6,Low Fat,0.037680711,Snack Foods,123.7704,OUT035,2004,Small,Tier 2,Supermarket Type1,3129.26
NCF42,17.35,Low Fat,0.168064909,Household,176.2712,OUT018,2009,Medium,Tier 3,Supermarket Type2,1230.3984
FDD04,16,Low Fat,0.090111173,Dairy,141.3154,OUT049,1999,Medium,Tier 1,Supermarket Type1,3261.7542
FDC45,17,Low Fat,0.136286138,Fruits and Vegetables,170.9106,OUT018,2009,Medium,Tier 3,Supermarket Type2,1197.7742
FDR46,16.85,Low Fat,0,Snack Foods,146.076,OUT017,2007,,Tier 2,Supermarket Type1,2636.568
FDJ58,15.6,Regular,0.105276162,Snack Foods,173.2764,OUT035,2004,Small,Tier 2,Supermarket Type1,3779.0808
NCM18,13,Low Fat,0.082970667,Household,60.0194,OUT049,1999,Medium,Tier 1,Supermarket Type1,1114.5492
FDA02,14,Regular,0.029782937,Dairy,146.3786,OUT045,2002,,Tier 2,Supermarket Type1,866.8716
DRD60,15.7,Low Fat,0.03722507,Soft Drinks,182.4634,OUT035,2004,Small,Tier 2,Supermarket Type1,1999.3974
NCH07,13.15,Low Fat,0.093191195,Household,158.1604,OUT017,2007,,Tier 2,Supermarket Type1,1426.1436
FDP44,16.5,Regular,0.079875237,Fruits and Vegetables,102.7332,OUT045,2002,,Tier 2,Supermarket Type1,1537.998
FDS58,9.285,Regular,0.021049215,Snack Foods,161.0578,OUT045,2002,,Tier 2,Supermarket Type1,2406.867
NCF06,6.235,Low Fat,0.020229757,Household,260.8962,OUT049,1999,Medium,Tier 1,Supermarket Type1,5956.9126
FDU55,16.2,Low Fat,0.036057562,Fruits and Vegetables,260.3278,OUT018,2009,Medium,Tier 3,Supermarket Type2,2342.9502
NCY18,7.285,Low Fat,0.031327839,Household,174.6054,OUT017,2007,,Tier 2,Supermarket Type1,2976.7918
DRE15,13.35,Low Fat,0,Dairy,75.7012,OUT017,2007,,Tier 2,Supermarket Type1,1442.1228
FDP19,11.5,Low Fat,0,Fruits and Vegetables,128.4652,OUT049,1999,Medium,Tier 1,Supermarket Type1,2841.6344
FDJ34,11.8,Regular,0.094037241,Snack Foods,124.5704,OUT018,2009,Medium,Tier 3,Supermarket Type2,1001.3632
FDX21,7.05,Low Fat,0.085312137,Snack Foods,107.4912,OUT018,2009,Medium,Tier 3,Supermarket Type2,982.7208
FDW57,8.31,reg,0.116148596,Snack Foods,176.0028,OUT018,2009,Medium,Tier 3,Supermarket Type2,4427.57
FDX14,13.1,Low Fat,0.075363922,Dairy,73.8354,OUT017,2007,,Tier 2,Supermarket Type1,1956.1204
NCW54,7.5,Low Fat,0.096806008,Household,56.2588,OUT018,2009,Medium,Tier 3,Supermarket Type2,687.1056
FDJ58,15.6,Regular,0.105725004,Snack Foods,169.9764,OUT018,2009,Medium,Tier 3,Supermarket Type2,2748.4224
FDA20,6.78,Low Fat,0.066997921,Fruits and Vegetables,186.524,OUT017,2007,,Tier 2,Supermarket Type1,2609.936
FDL34,16,Low Fat,0.040938155,Snack Foods,141.1496,OUT035,2004,Small,Tier 2,Supermarket Type1,4516.7872
DRZ24,7.535,Low Fat,0,Soft Drinks,121.644,OUT045,2002,,Tier 2,Supermarket Type1,1557.972
FDF56,16.7,Regular,0.119439636,Fruits and Vegetables,182.1976,OUT035,2004,Small,Tier 2,Supermarket Type1,724.3904
FDY55,16.75,Low Fat,0.081304829,Fruits and Vegetables,258.4988,OUT035,2004,Small,Tier 2,Supermarket Type1,4111.9808
NCR06,12.5,Low Fat,0.006775667,Household,42.9112,OUT049,1999,Medium,Tier 1,Supermarket Type1,1022.6688
NCR18,15.85,Low Fat,0.020519478,Household,42.5112,OUT049,1999,Medium,Tier 1,Supermarket Type1,852.224
DRD01,12.1,Regular,0.061163967,Soft Drinks,56.5614,OUT035,2004,Small,Tier 2,Supermarket Type1,828.921
FDI45,13.1,Low Fat,0.037574137,Fruits and Vegetables,174.2054,OUT035,2004,Small,Tier 2,Supermarket Type1,3677.2134
FDQ22,16.75,Low Fat,0.029785889,Snack Foods,38.9822,OUT049,1999,Medium,Tier 1,Supermarket Type1,628.5152
NCR54,16.35,Low Fat,0,Household,198.211,OUT035,2004,Small,Tier 2,Supermarket Type1,2946.165
DRI37,15.85,Low Fat,0.108206497,Soft Drinks,58.3904,OUT017,2007,,Tier 2,Supermarket Type1,468.7232
FDB04,11.35,Regular,0.063354531,Dairy,88.9856,OUT045,2002,,Tier 2,Supermarket Type1,1230.3984
FDU38,10.8,Low Fat,0.082534287,Dairy,191.1504,OUT035,2004,Small,Tier 2,Supermarket Type1,4410.2592
FDR45,10.8,Low Fat,0.028988288,Snack Foods,239.2222,OUT049,1999,Medium,Tier 1,Supermarket Type1,6692.6216
NCF42,17.35,Low Fat,0.168329848,Household,176.7712,OUT017,2007,,Tier 2,Supermarket Type1,2812.3392
FDW35,10.6,Low Fat,0.011087128,Breads,41.4454,OUT035,2004,Small,Tier 2,Supermarket Type1,1468.089
FDX32,15.1,Regular,0.099839365,Fruits and Vegetables,143.3786,OUT035,2004,Small,Tier 2,Supermarket Type1,1733.7432
FDD04,16,Low Fat,0.090480206,Dairy,142.4154,OUT017,2007,,Tier 2,Supermarket Type1,1985.4156
DRB13,6.115,Regular,0.007043008,Soft Drinks,190.353,OUT035,2004,Small,Tier 2,Supermarket Type1,569.259
FDC33,8.96,Regular,0.069219165,Fruits and Vegetables,196.5768,OUT018,2009,Medium,Tier 3,Supermarket Type2,2759.0752
FDO58,19.6,Low Fat,0.039569689,Snack Foods,165.9526,OUT035,2004,Small,Tier 2,Supermarket Type1,2631.2416
DRF49,7.27,Low Fat,0.071188446,Soft Drinks,111.9518,OUT049,1999,Medium,Tier 1,Supermarket Type1,1138.518
FDV20,20.2,Regular,0,Fruits and Vegetables,129.0678,OUT017,2007,,Tier 2,Supermarket Type1,3560.6984
FDG57,14.7,Low Fat,0.072592873,Fruits and Vegetables,48.5034,OUT018,2009,Medium,Tier 3,Supermarket Type2,874.8612
FDI44,16.1,Low Fat,0.100388706,Fruits and Vegetables,76.0328,OUT049,1999,Medium,Tier 1,Supermarket Type1,1853.5872
FDU20,19.35,Regular,0.021453493,Fruits and Vegetables,120.3098,OUT035,2004,Small,Tier 2,Supermarket Type1,2530.7058
FDN31,11.5,Low Fat,0.072994847,Fruits and Vegetables,189.253,OUT049,1999,Medium,Tier 1,Supermarket Type1,1328.271
FDY08,9.395,Regular,0.171422166,Fruits and Vegetables,139.1838,OUT045,2002,,Tier 2,Supermarket Type1,1685.8056
NCY54,8.43,Low Fat,0.177971115,Household,174.0422,OUT049,1999,Medium,Tier 1,Supermarket Type1,2069.3064
FDS55,7.02,Low Fat,0.081623275,Fruits and Vegetables,148.0734,OUT017,2007,,Tier 2,Supermarket Type1,1930.1542
DRG49,7.81,Low Fat,0.067592098,Soft Drinks,246.0486,OUT045,2002,,Tier 2,Supermarket Type1,7086.1094
NCK54,12.15,Low Fat,0.029569276,Household,115.015,OUT049,1999,Medium,Tier 1,Supermarket Type1,2912.875
FDT21,7.42,Low Fat,0.0204332,Snack Foods,248.9092,OUT045,2002,,Tier 2,Supermarket Type1,5976.2208
NCI30,20.25,Low Fat,0.059268885,Household,246.446,OUT017,2007,,Tier 2,Supermarket Type1,3695.19
FDA56,9.21,Low Fat,0.008778413,Fruits and Vegetables,122.4414,OUT049,1999,Medium,Tier 1,Supermarket Type1,1583.9382
FDM33,15.6,Low Fat,0,Snack Foods,220.4798,OUT018,2009,Medium,Tier 3,Supermarket Type2,661.1394
FDR55,12.15,Regular,0.132351411,Fruits and Vegetables,190.3872,OUT045,2002,,Tier 2,Supermarket Type1,2836.308
FDT26,18.85,Regular,0.067940657,Dairy,119.044,OUT035,2004,Small,Tier 2,Supermarket Type1,1198.44
FDT58,9,Low Fat,0.08630486,Snack Foods,168.0816,OUT018,2009,Medium,Tier 3,Supermarket Type2,2181.1608
FDN25,7.895,Regular,0.061163967,Breakfast,59.2588,OUT035,2004,Small,Tier 2,Supermarket Type1,801.6232
DRC27,13.8,Low Fat,0.058220302,Dairy,247.4802,OUT045,2002,,Tier 2,Supermarket Type1,1474.0812
FDA38,5.44,Low Fat,0.025519534,Dairy,238.7538,OUT049,1999,Medium,Tier 1,Supermarket Type1,3605.307
NCW18,15.1,Low Fat,0.059417055,Household,237.9248,OUT049,1999,Medium,Tier 1,Supermarket Type1,2133.2232
FDQ44,20.5,Low Fat,0.036287517,Fruits and Vegetables,121.2756,OUT018,2009,Medium,Tier 3,Supermarket Type2,2181.1608
FDL45,15.6,Low Fat,0.037764269,Snack Foods,124.9704,OUT045,2002,,Tier 2,Supermarket Type1,2253.0672
DRB48,16.75,Regular,0.024848788,Soft Drinks,39.9822,OUT035,2004,Small,Tier 2,Supermarket Type1,746.3618
FDQ34,10.85,Low Fat,0.162903525,Snack Foods,104.9622,OUT018,2009,Medium,Tier 3,Supermarket Type2,1482.0708
DRG48,5.78,Low Fat,0.014614357,Soft Drinks,147.3102,OUT018,2009,Medium,Tier 3,Supermarket Type2,2332.9632
NCH43,8.42,Low Fat,0.070555571,Household,216.0192,OUT035,2004,Small,Tier 2,Supermarket Type1,2372.9112
DRK01,7.63,Low Fat,0.061409711,Soft Drinks,94.6436,OUT017,2007,,Tier 2,Supermarket Type1,1607.2412
FDS23,4.635,Low Fat,0.141174838,Breads,127.0994,OUT045,2002,,Tier 2,Supermarket Type1,2826.9868
FDC33,8.96,Regular,0.069078149,Fruits and Vegetables,197.7768,OUT045,2002,,Tier 2,Supermarket Type1,3153.2288
NCF18,18.35,LF,0.089345074,Household,191.9504,OUT018,2009,Medium,Tier 3,Supermarket Type2,5369.0112
FDW09,13.65,Regular,0.025973384,Snack Foods,79.6302,OUT045,2002,,Tier 2,Supermarket Type1,554.6114
FDN09,14.15,LF,0,Snack Foods,244.1828,OUT045,2002,,Tier 2,Supermarket Type1,731.0484
FDM08,10.1,Regular,0.053887301,Fruits and Vegetables,225.6088,OUT017,2007,,Tier 2,Supermarket Type1,4250.4672
FDS31,13.1,Regular,0.044281996,Fruits and Vegetables,178.5318,OUT045,2002,,Tier 2,Supermarket Type1,3067.3406
DRF36,16.1,Low Fat,0.023613955,Soft Drinks,192.8846,OUT049,1999,Medium,Tier 1,Supermarket Type1,5350.3688
NCJ18,12.35,Low Fat,0.164274416,Household,119.8124,OUT045,2002,,Tier 2,Supermarket Type1,2133.2232
FDL51,20.7,Regular,0.047587685,Dairy,215.0876,OUT045,2002,,Tier 2,Supermarket Type1,5145.3024
NCZ54,14.65,Low Fat,0.083528446,Household,162.4552,OUT045,2002,,Tier 2,Supermarket Type1,2274.3728
DRF13,12.1,Low Fat,0.029827665,Soft Drinks,144.3444,OUT049,1999,Medium,Tier 1,Supermarket Type1,2612.5992
FDK25,11.6,Regular,0.157718931,Breakfast,168.3474,OUT017,2007,,Tier 2,Supermarket Type1,4548.0798
FDZ38,17.6,Low Fat,0.008046275,Dairy,173.7422,OUT017,2007,,Tier 2,Supermarket Type1,5863.0348
FDW32,18.35,Regular,0.09468096,Fruits and Vegetables,86.2882,OUT018,2009,Medium,Tier 3,Supermarket Type2,1631.8758
FDQ19,7.35,Regular,0.014394261,Fruits and Vegetables,241.3512,OUT045,2002,,Tier 2,Supermarket Type1,5331.7264
FDE08,18.2,Low Fat,0.049396364,Fruits and Vegetables,146.4734,OUT049,1999,Medium,Tier 1,Supermarket Type1,3563.3616
FDN09,14.15,LF,0.035016754,Snack Foods,245.3828,OUT018,2009,Medium,Tier 3,Supermarket Type2,1705.7796
DRG37,16.2,Low Fat,0.019417732,Soft Drinks,153.7972,OUT045,2002,,Tier 2,Supermarket Type1,1402.1748
FDO23,17.85,Low Fat,0.147255604,Breads,93.7436,OUT017,2007,,Tier 2,Supermarket Type1,1701.7848
FDG22,17.6,Regular,0.041373331,Snack Foods,38.119,OUT035,2004,Small,Tier 2,Supermarket Type1,732.38
FDW56,7.68,Low Fat,0.071301323,Fruits and Vegetables,190.8162,OUT017,2007,,Tier 2,Supermarket Type1,2693.8268
FDB59,18.25,Low Fat,0.015309885,Snack Foods,197.6084,OUT045,2002,,Tier 2,Supermarket Type1,2380.9008
FDQ55,13.65,Regular,0.013091186,Fruits and Vegetables,114.8834,OUT018,2009,Medium,Tier 3,Supermarket Type2,1612.5676
FDD51,11.15,Low Fat,0,Dairy,44.7744,OUT045,2002,,Tier 2,Supermarket Type1,181.0976
FDG56,13.3,Regular,0.071856726,Fruits and Vegetables,63.2536,OUT017,2007,,Tier 2,Supermarket Type1,1347.5792
FDS33,6.67,Regular,0.123620492,Snack Foods,90.0514,OUT049,1999,Medium,Tier 1,Supermarket Type1,1505.3738
NCC55,10.695,Low Fat,0.06375108,Household,36.7848,OUT035,2004,Small,Tier 2,Supermarket Type1,782.9808
FDK44,16.6,Low Fat,0.122204371,Fruits and Vegetables,173.5738,OUT035,2004,Small,Tier 2,Supermarket Type1,1911.5118
DRL01,19.5,Regular,0.077292302,Soft Drinks,235.3958,OUT049,1999,Medium,Tier 1,Supermarket Type1,6309.7866
FDU10,10.1,Regular,0.045763062,Snack Foods,38.4848,OUT049,1999,Medium,Tier 1,Supermarket Type1,633.8416
NCS38,8.6,Low Fat,0.090558833,Household,112.6176,OUT018,2009,Medium,Tier 3,Supermarket Type2,3091.9752
FDV31,9.8,Low Fat,0.106933748,Fruits and Vegetables,175.337,OUT045,2002,,Tier 2,Supermarket Type1,529.311
FDT20,10.5,LF,0.041387618,Fruits and Vegetables,40.1164,OUT035,2004,Small,Tier 2,Supermarket Type1,849.5608
FDF34,9.3,Regular,0.014047825,Snack Foods,196.5084,OUT045,2002,,Tier 2,Supermarket Type1,4364.9848
DRF60,10.8,low fat,0.052174319,Soft Drinks,240.3564,OUT045,2002,,Tier 2,Supermarket Type1,4290.4152
FDP34,12.85,LF,0.137786856,Snack Foods,157.763,OUT018,2009,Medium,Tier 3,Supermarket Type2,2659.871
FDA20,6.78,Low Fat,0.066608487,Fruits and Vegetables,184.624,OUT035,2004,Small,Tier 2,Supermarket Type1,5406.296
FDY10,17.6,Low Fat,0.049345425,Snack Foods,115.4176,OUT017,2007,,Tier 2,Supermarket Type1,1145.176
NCT54,8.695,Low Fat,0.120211747,Household,93.2094,OUT017,2007,,Tier 2,Supermarket Type1,666.4658
FDE46,18.6,Low Fat,0.015766712,Snack Foods,152.9366,OUT035,2004,Small,Tier 2,Supermarket Type1,1662.5026
DRE48,8.43,Low Fat,0.017360867,Soft Drinks,196.2768,OUT045,2002,,Tier 2,Supermarket Type1,1576.6144
FDB56,8.75,Regular,0.074743226,Fruits and Vegetables,187.6556,OUT049,1999,Medium,Tier 1,Supermarket Type1,5257.1568
FDI45,13.1,Low Fat,0.037657459,Fruits and Vegetables,175.8054,OUT045,2002,,Tier 2,Supermarket Type1,2801.6864
FDR56,15.5,Regular,0.101176316,Fruits and Vegetables,198.9768,OUT018,2009,Medium,Tier 3,Supermarket Type2,4729.8432
FDX58,13.15,LF,0.043852434,Snack Foods,182.695,OUT045,2002,,Tier 2,Supermarket Type1,4211.185
FDC51,10.895,Regular,0.009620042,Dairy,121.673,OUT035,2004,Small,Tier 2,Supermarket Type1,1970.768
DRH25,18.7,Low Fat,0.014675574,Soft Drinks,50.8324,OUT017,2007,,Tier 2,Supermarket Type1,934.7832
NCO54,19.5,Low Fat,0.014332439,Household,57.1614,OUT018,2009,Medium,Tier 3,Supermarket Type2,1381.535
DRE27,11.85,Low Fat,0.132876847,Dairy,98.0726,OUT049,1999,Medium,Tier 1,Supermarket Type1,1076.5986
NCU42,9,Low Fat,0.019536981,Household,170.0474,OUT049,1999,Medium,Tier 1,Supermarket Type1,4211.185
FDX43,5.655,Low Fat,0.085258864,Fruits and Vegetables,165.85,OUT035,2004,Small,Tier 2,Supermarket Type1,1830.95
NCI54,15.2,Low Fat,0.033592687,Household,108.1912,OUT035,2004,Small,Tier 2,Supermarket Type1,1856.2504
FDS57,15.5,Low Fat,0.103603094,Snack Foods,143.547,OUT049,1999,Medium,Tier 1,Supermarket Type1,1431.47
DRK12,9.5,Low Fat,0.042056944,Soft Drinks,31.89,OUT018,2009,Medium,Tier 3,Supermarket Type2,366.19
DRE03,19.6,Low Fat,0.024363939,Dairy,46.3718,OUT017,2007,,Tier 2,Supermarket Type1,661.8052
FDQ49,20.2,Regular,0.039469737,Breakfast,155.163,OUT017,2007,,Tier 2,Supermarket Type1,782.315
NCJ42,19.75,Low Fat,0.014359584,Household,100.8332,OUT018,2009,Medium,Tier 3,Supermarket Type2,1537.998
FDC39,7.405,Low Fat,0.159843921,Dairy,206.6296,OUT018,2009,Medium,Tier 3,Supermarket Type2,3115.944
NCY06,15.25,Low Fat,0.061308889,Household,128.8968,OUT045,2002,,Tier 2,Supermarket Type1,2348.9424
FDM58,16.85,Regular,0.080015028,Snack Foods,111.8544,OUT018,2009,Medium,Tier 3,Supermarket Type2,1677.816
FDS50,17,Low Fat,0.055519561,Dairy,219.8114,OUT049,1999,Medium,Tier 1,Supermarket Type1,1108.557
DRJ39,20.25,Low Fat,0.036474041,Dairy,218.3482,OUT018,2009,Medium,Tier 3,Supermarket Type2,2409.5302
FDW45,18,Low Fat,0.039231652,Snack Foods,145.1418,OUT017,2007,,Tier 2,Supermarket Type1,2648.5524
DRJ24,11.8,Low Fat,0.11397026,Soft Drinks,185.1924,OUT017,2007,,Tier 2,Supermarket Type1,2591.2936
NCF07,9,Low Fat,0.032203667,Household,100.8016,OUT017,2007,,Tier 2,Supermarket Type1,1113.2176
DRE15,13.35,Low Fat,0.017857847,Dairy,77.5012,OUT018,2009,Medium,Tier 3,Supermarket Type2,1518.024
FDD20,14.15,LF,0.020798905,Fruits and Vegetables,123.6046,OUT018,2009,Medium,Tier 3,Supermarket Type2,1245.046
DRF60,10.8,Low Fat,0.052363244,Soft Drinks,236.5564,OUT017,2007,,Tier 2,Supermarket Type1,5243.8408
